Row,State,DivisionNm,Year1,Party1,Year2,Party2
128,NSW,Reid,2013,LP,2016,LP
129,NSW,Richmond,2013,ALP,2016,ALP
130,NSW,Riverina,2013,NP,2016,NP
131,NSW,Robertson,2013,LP,2016,LP
132,QLD,Ryan,2013,LNP,2016,LNP
133,VIC,Scullin,2013,ALP,2016,ALP
134,NSW,Shortland,2013,ALP,2016,ALP
135,NT,Solomon,2013,CLP,2016,ALP
136,SA,Spence,2013,ALP,2016,ALP
137,SA,Sturt,2013,LP,2016,LP
138,WA,Swan,2013,LP,2016,LP
139,NSW,Sydney,2013,ALP,2016,ALP
140,WA,Tangney,2013,LP,2016,LP
141,VIC,Wannon,2013,LP,2016,LP
142,NSW,Warringah,2013,LP,2016,LP
143,NSW,Watson,2013,ALP,2016,ALP
144,NSW,Wentworth,2013,LP,2016,LP
145,NSW,Werriwa,2013,ALP,2016,ALP
146,NSW,Whitlam,2013,ALP,2016,ALP
147,QLD,Wide Bay,2013,LNP,2016,LNP
148,VIC,Wills,2013,ALP,2016,ALP
149,QLD,Wright,2013,LNP,2016,LNP
1,SA,Adelaide,2016,ALP,2019,ALP
2,VIC,Aston,2016,LP,2019,LP
3,VIC,Ballarat,2016,ALP,2019,ALP
4,NSW,Banks,2016,LP,2019,LP
5,SA,Barker,2016,LP,2019,LP
6,NSW,Barton,2016,ALP,2019,ALP
7,TAS,Bass,2016,ALP,2019,LP
8,ACT,Bean,2016,,2019,ALP
9,VIC,Bendigo,2016,ALP,2019,ALP
10,NSW,Bennelong,2016,LP,2019,LP
11,NSW,Berowra,2016,LP,2019,LP
12,QLD,Blair,2016,ALP,2019,ALP
13,NSW,Blaxland,2016,ALP,2019,ALP
14,QLD,Bonner,2016,LNP,2019,LNP
15,SA,Boothby,2016,LP,2019,LP
16,QLD,Bowman,2016,LNP,2019,LNP
17,TAS,Braddon,2016,ALP,2019,LP
18,NSW,Bradfield,2016,LP,2019,LP
19,WA,Brand,2016,ALP,2019,ALP
20,QLD,Brisbane,2016,LNP,2019,LNP
21,VIC,Bruce,2016,ALP,2019,ALP
22,WA,Bullwinkel,2016,,2019,
23,WA,Burt,2016,ALP,2019,ALP
24,NSW,Calare,2016,NP,2019,NP
25,VIC,Calwell,2016,ALP,2019,ALP
26,ACT,Canberra,2016,ALP,2019,ALP
27,WA,Canning,2016,LP,2019,LP
28,QLD,Capricornia,2016,LNP,2019,LNP
29,VIC,Casey,2016,LP,2019,LP
30,NSW,Chifley,2016,ALP,2019,ALP
31,VIC,Chisholm,2016,LP,2019,LP
32,TAS,Clark,2016,IND,2019,IND
33,NSW,Cook,2016,LP,2019,LP
34,VIC,Cooper,2016,ALP,2019,ALP
35,VIC,Corangamite,2016,LP,2019,ALP
36,VIC,Corio,2016,ALP,2019,ALP
37,WA,Cowan,2016,ALP,2019,ALP
38,NSW,Cowper,2016,NP,2019,NP
39,NSW,Cunningham,2016,ALP,2019,ALP
40,WA,Curtin,2016,LP,2019,LP
41,QLD,Dawson,2016,LNP,2019,LNP
42,VIC,Deakin,2016,LP,2019,LP
43,QLD,Dickson,2016,LNP,2019,LNP
44,NSW,Dobell,2016,ALP,2019,ALP
45,VIC,Dunkley,2016,LP,2019,ALP
46,WA,Durack,2016,LP,2019,LP
47,NSW,Eden-Monaro,2016,ALP,2019,ALP
48,QLD,Fadden,2016,LNP,2019,LNP
49,QLD,Fairfax,2016,LNP,2019,LNP
50,NSW,Farrer,2016,LP,2019,LP
51,ACT,Fenner,2016,ALP,2019,ALP
52,QLD,Fisher,2016,LNP,2019,LNP
53,VIC,Flinders,2016,LP,2019,LP
54,QLD,Flynn,2016,LNP,2019,LNP
55,QLD,Forde,2016,LNP,2019,LNP
56,WA,Forrest,2016,LP,2019,LP
57,NSW,Fowler,2016,ALP,2019,ALP
58,TAS,Franklin,2016,ALP,2019,ALP
59,WA,Fremantle,2016,ALP,2019,ALP
60,VIC,Gellibrand,2016,ALP,2019,ALP
61,NSW,Gilmore,2016,LP,2019,ALP
62,VIC,Gippsland,2016,NP,2019,NP
63,VIC,Goldstein,2016,LP,2019,LP
64,VIC,Gorton,2016,ALP,2019,ALP
65,NSW,Grayndler,2016,ALP,2019,ALP
66,NSW,Greenway,2016,ALP,2019,ALP
67,SA,Grey,2016,LP,2019,LP
68,QLD,Griffith,2016,ALP,2019,ALP
69,QLD,Groom,2016,LNP,2019,LNP
70,WA,Hasluck,2016,LP,2019,LP
71,VIC,Hawke,2016,,2019,
72,QLD,Herbert,2016,ALP,2019,LNP
73,SA,Hindmarsh,2016,ALP,2019,ALP
74,QLD,Hinkler,2016,LNP,2019,LNP
75,VIC,Holt,2016,ALP,2019,ALP
76,VIC,Hotham,2016,ALP,2019,ALP
77,NSW,Hughes,2016,LP,2019,LP
78,NSW,Hume,2016,LP,2019,LP
79,NSW,Hunter,2016,ALP,2019,ALP
80,VIC,Indi,2016,IND,2019,IND
81,VIC,Isaacs,2016,ALP,2019,ALP
82,VIC,Jagajaga,2016,ALP,2019,ALP
83,QLD,Kennedy,2016,KAP,2019,KAP
84,NSW,Kingsford Smith,2016,ALP,2019,ALP
85,SA,Kingston,2016,ALP,2019,ALP
86,VIC,Kooyong,2016,LP,2019,LP
87,VIC,La Trobe,2016,LP,2019,LP
88,VIC,Lalor,2016,ALP,2019,ALP
89,QLD,Leichhardt,2016,LP,2019,LP
90,QLD,Lilley,2016,ALP,2019,ALP
91,NSW,Lindsay,2016,ALP,2019,LP
92,NT,Lingiari,2016,ALP,2019,ALP
93,QLD,Longman,2016,ALP,2019,LNP
94,NSW,Lyne,2016,NP,2019,NP
95,TAS,Lyons,2016,ALP,2019,ALP
96,NSW,Macarthur,2016,ALP,2019,ALP
97,NSW,Mackellar,2016,LP,2019,LP
98,VIC,Macnamara,2016,ALP,2019,ALP
99,NSW,Macquarie,2016,ALP,2019,ALP
100,SA,Makin,2016,ALP,2019,ALP
101,VIC,Mallee,2016,NP,2019,NP
102,QLD,Maranoa,2016,LNP,2019,LNP
103,VIC,Maribyrnong,2016,ALP,2019,ALP
104,SA,Mayo,2016,XEN,2019,XEN
105,VIC,McEwen,2016,ALP,2019,ALP
106,NSW,McMahon,2016,ALP,2019,ALP
107,QLD,McPherson,2016,LNP,2019,LNP
108,VIC,Melbourne,2016,GRN,2019,GRN
109,VIC,Menzies,2016,LP,2019,LP
110,NSW,Mitchell,2016,LP,2019,LP
111,VIC,Monash,2016,LP,2019,LP
112,QLD,Moncrieff,2016,LNP,2019,LNP
113,WA,Moore,2016,LP,2019,LP
114,QLD,Moreton,2016,ALP,2019,ALP
115,NSW,New England,2016,NP,2019,NP
116,NSW,Newcastle,2016,ALP,2019,ALP
117,VIC,Nicholls,2016,NP,2019,NP
118,WA,O'Connor,2016,LP,2019,LP
119,QLD,Oxley,2016,ALP,2019,ALP
120,NSW,Page,2016,NP,2019,NP
121,NSW,Parkes,2016,NP,2019,NP
122,NSW,Parramatta,2016,ALP,2019,ALP
123,NSW,Paterson,2016,ALP,2019,ALP
124,WA,Pearce,2016,LP,2019,LP
125,WA,Perth,2016,ALP,2019,ALP
126,QLD,Petrie,2016,LNP,2019,LNP
127,QLD,Rankin,2016,ALP,2019,ALP
128,NSW,Reid,2016,LP,2019,LP
129,NSW,Richmond,2016,ALP,2019,ALP
130,NSW,Riverina,2016,NP,2019,NP
131,NSW,Robertson,2016,LP,2019,LP
132,QLD,Ryan,2016,LNP,2019,LNP
133,VIC,Scullin,2016,ALP,2019,ALP
134,NSW,Shortland,2016,ALP,2019,ALP
135,NT,Solomon,2016,ALP,2019,ALP
136,SA,Spence,2016,ALP,2019,ALP
137,SA,Sturt,2016,LP,2019,LP
138,WA,Swan,2016,LP,2019,LP
139,NSW,Sydney,2016,ALP,2019,ALP
140,WA,Tangney,2016,LP,2019,LP
141,VIC,Wannon,2016,LP,2019,LP
142,NSW,Warringah,2016,LP,2019,IND
143,NSW,Watson,2016,ALP,2019,ALP
144,NSW,Wentworth,2016,LP,2019,LP
145,NSW,Werriwa,2016,ALP,2019,ALP
146,NSW,Whitlam,2016,ALP,2019,ALP
147,QLD,Wide Bay,2016,LNP,2019,LNP
148,VIC,Wills,2016,ALP,2019,ALP
149,QLD,Wright,2016,LNP,2019,LNP
1,SA,Adelaide,2019,ALP,2022,ALP
2,VIC,Aston,2019,LP,2022,LP
3,VIC,Ballarat,2019,ALP,2022,ALP
4,NSW,Banks,2019,LP,2022,LP
5,SA,Barker,2019,LP,2022,LP
6,NSW,Barton,2019,ALP,2022,ALP
7,TAS,Bass,2019,LP,2022,LP
8,ACT,Bean,2019,ALP,2022,ALP
9,VIC,Bendigo,2019,ALP,2022,ALP
10,NSW,Bennelong,2019,LP,2022,ALP
11,NSW,Berowra,2019,LP,2022,LP
12,QLD,Blair,2019,ALP,2022,ALP
13,NSW,Blaxland,2019,ALP,2022,ALP
14,QLD,Bonner,2019,LNP,2022,LNP
15,SA,Boothby,2019,LP,2022,ALP
16,QLD,Bowman,2019,LNP,2022,LNP
17,TAS,Braddon,2019,LP,2022,LP
18,NSW,Bradfield,2019,LP,2022,LP
19,WA,Brand,2019,ALP,2022,ALP
20,QLD,Brisbane,2019,LNP,2022,GRN
21,VIC,Bruce,2019,ALP,2022,ALP
22,WA,Bullwinkel,2019,,2022,
23,WA,Burt,2019,ALP,2022,ALP
24,NSW,Calare,2019,NP,2022,NP
25,VIC,Calwell,2019,ALP,2022,ALP
26,ACT,Canberra,2019,ALP,2022,ALP
27,WA,Canning,2019,LP,2022,LP
28,QLD,Capricornia,2019,LNP,2022,LNP
29,VIC,Casey,2019,LP,2022,LP
30,NSW,Chifley,2019,ALP,2022,ALP
31,VIC,Chisholm,2019,LP,2022,ALP
32,TAS,Clark,2019,IND,2022,IND
33,NSW,Cook,2019,LP,2022,LP
34,VIC,Cooper,2019,ALP,2022,ALP
35,VIC,Corangamite,2019,ALP,2022,ALP
36,VIC,Corio,2019,ALP,2022,ALP
37,WA,Cowan,2019,ALP,2022,ALP
38,NSW,Cowper,2019,NP,2022,NP
39,NSW,Cunningham,2019,ALP,2022,ALP
40,WA,Curtin,2019,LP,2022,IND
41,QLD,Dawson,2019,LNP,2022,LNP
42,VIC,Deakin,2019,LP,2022,LP
43,QLD,Dickson,2019,LNP,2022,LNP
44,NSW,Dobell,2019,ALP,2022,ALP
45,VIC,Dunkley,2019,ALP,2022,ALP
46,WA,Durack,2019,LP,2022,LP
47,NSW,Eden-Monaro,2019,ALP,2022,ALP
48,QLD,Fadden,2019,LNP,2022,LNP
49,QLD,Fairfax,2019,LNP,2022,LNP
50,NSW,Farrer,2019,LP,2022,LP
51,ACT,Fenner,2019,ALP,2022,ALP
52,QLD,Fisher,2019,LNP,2022,LNP
53,VIC,Flinders,2019,LP,2022,LP
54,QLD,Flynn,2019,LNP,2022,LNP
55,QLD,Forde,2019,LNP,2022,LNP
56,WA,Forrest,2019,LP,2022,LP
57,NSW,Fowler,2019,ALP,2022,IND
58,TAS,Franklin,2019,ALP,2022,ALP
59,WA,Fremantle,2019,ALP,2022,ALP
60,VIC,Gellibrand,2019,ALP,2022,ALP
61,NSW,Gilmore,2019,ALP,2022,ALP
62,VIC,Gippsland,2019,NP,2022,NP
63,VIC,Goldstein,2019,LP,2022,IND
64,VIC,Gorton,2019,ALP,2022,ALP
65,NSW,Grayndler,2019,ALP,2022,ALP
66,NSW,Greenway,2019,ALP,2022,ALP
67,SA,Grey,2019,LP,2022,LP
68,QLD,Griffith,2019,ALP,2022,GRN
69,QLD,Groom,2019,LNP,2022,LNP
70,WA,Hasluck,2019,LP,2022,ALP
71,VIC,Hawke,2019,,2022,ALP
72,QLD,Herbert,2019,LNP,2022,LNP
73,SA,Hindmarsh,2019,ALP,2022,ALP
74,QLD,Hinkler,2019,LNP,2022,LNP
75,VIC,Holt,2019,ALP,2022,ALP
76,VIC,Hotham,2019,ALP,2022,ALP
77,NSW,Hughes,2019,LP,2022,LP
78,NSW,Hume,2019,LP,2022,LP
79,NSW,Hunter,2019,ALP,2022,ALP
80,VIC,Indi,2019,IND,2022,IND
81,VIC,Isaacs,2019,ALP,2022,ALP
82,VIC,Jagajaga,2019,ALP,2022,ALP
83,QLD,Kennedy,2019,KAP,2022,KAP
84,NSW,Kingsford Smith,2019,ALP,2022,ALP
85,SA,Kingston,2019,ALP,2022,ALP
86,VIC,Kooyong,2019,LP,2022,IND
87,VIC,La Trobe,2019,LP,2022,LP
88,VIC,Lalor,2019,ALP,2022,ALP
89,QLD,Leichhardt,2019,LP,2022,LP
90,QLD,Lilley,2019,ALP,2022,ALP
91,NSW,Lindsay,2019,LP,2022,LP
92,NT,Lingiari,2019,ALP,2022,ALP
93,QLD,Longman,2019,LNP,2022,LNP
94,NSW,Lyne,2019,NP,2022,NP
95,TAS,Lyons,2019,ALP,2022,ALP
96,NSW,Macarthur,2019,ALP,2022,ALP
97,NSW,Mackellar,2019,LP,2022,IND
98,VIC,Macnamara,2019,ALP,2022,ALP
99,NSW,Macquarie,2019,ALP,2022,ALP
100,SA,Makin,2019,ALP,2022,ALP
101,VIC,Mallee,2019,NP,2022,NP
102,QLD,Maranoa,2019,LNP,2022,LNP
103,VIC,Maribyrnong,2019,ALP,2022,ALP
104,SA,Mayo,2019,XEN,2022,XEN
105,VIC,McEwen,2019,ALP,2022,ALP
106,NSW,McMahon,2019,ALP,2022,ALP
107,QLD,McPherson,2019,LNP,2022,LNP
108,VIC,Melbourne,2019,GRN,2022,GRN
109,VIC,Menzies,2019,LP,2022,LP
110,NSW,Mitchell,2019,LP,2022,LP
111,VIC,Monash,2019,LP,2022,LP
112,QLD,Moncrieff,2019,LNP,2022,LNP
113,WA,Moore,2019,LP,2022,LP
114,QLD,Moreton,2019,ALP,2022,ALP
115,NSW,New England,2019,NP,2022,NP
116,NSW,Newcastle,2019,ALP,2022,ALP
117,VIC,Nicholls,2019,NP,2022,NP
118,WA,O'Connor,2019,LP,2022,LP
119,QLD,Oxley,2019,ALP,2022,ALP
120,NSW,Page,2019,NP,2022,NP
121,NSW,Parkes,2019,NP,2022,NP
122,NSW,Parramatta,2019,ALP,2022,ALP
123,NSW,Paterson,2019,ALP,2022,ALP
124,WA,Pearce,2019,LP,2022,ALP
125,WA,Perth,2019,ALP,2022,ALP
126,QLD,Petrie,2019,LNP,2022,LNP
127,QLD,Rankin,2019,ALP,2022,ALP
128,NSW,Reid,2019,LP,2022,ALP
129,NSW,Richmond,2019,ALP,2022,ALP
130,NSW,Riverina,2019,NP,2022,NP
131,NSW,Robertson,2019,LP,2022,ALP
132,QLD,Ryan,2019,LNP,2022,GRN
133,VIC,Scullin,2019,ALP,2022,ALP
134,NSW,Shortland,2019,ALP,2022,ALP
135,NT,Solomon,2019,ALP,2022,ALP
136,SA,Spence,2019,ALP,2022,ALP
137,SA,Sturt,2019,LP,2022,LP
138,WA,Swan,2019,LP,2022,ALP
139,NSW,Sydney,2019,ALP,2022,ALP
140,WA,Tangney,2019,LP,2022,ALP
141,VIC,Wannon,2019,LP,2022,LP
142,NSW,Warringah,2019,IND,2022,IND
143,NSW,Watson,2019,ALP,2022,ALP
144,NSW,Wentworth,2019,LP,2022,IND
145,NSW,Werriwa,2019,ALP,2022,ALP
146,NSW,Whitlam,2019,ALP,2022,ALP
147,QLD,Wide Bay,2019,LNP,2022,LNP
148,VIC,Wills,2019,ALP,2022,ALP
149,QLD,Wright,2019,LNP,2022,LNP
1,SA,Adelaide,2022,ALP,2025,ALP
2,VIC,Aston,2022,LP,2025,ALP
3,VIC,Ballarat,2022,ALP,2025,ALP
4,NSW,Banks,2022,LP,2025,ALP
5,SA,Barker,2022,LP,2025,LP
6,NSW,Barton,2022,ALP,2025,ALP
7,TAS,Bass,2022,LP,2025,ALP
8,ACT,Bean,2022,ALP,2025,ALP
9,VIC,Bendigo,2022,ALP,2025,ALP
10,NSW,Bennelong,2022,ALP,2025,ALP
11,NSW,Berowra,2022,LP,2025,LP
12,QLD,Blair,2022,ALP,2025,ALP
13,NSW,Blaxland,2022,ALP,2025,ALP
14,QLD,Bonner,2022,LNP,2025,ALP
15,SA,Boothby,2022,ALP,2025,ALP
16,QLD,Bowman,2022,LNP,2025,LNP
17,TAS,Braddon,2022,LP,2025,ALP
18,NSW,Bradfield,2022,LP,2025,IND
19,WA,Brand,2022,ALP,2025,ALP
20,QLD,Brisbane,2022,GRN,2025,ALP
21,VIC,Bruce,2022,ALP,2025,ALP
22,WA,Bullwinkel,2022,,2025,ALP
23,WA,Burt,2022,ALP,2025,ALP
24,NSW,Calare,2022,NP,2025,IND
25,VIC,Calwell,2022,ALP,2025,ALP
26,ACT,Canberra,2022,ALP,2025,ALP
27,WA,Canning,2022,LP,2025,LP
28,QLD,Capricornia,2022,LNP,2025,LNP
29,VIC,Casey,2022,LP,2025,LP
30,NSW,Chifley,2022,ALP,2025,ALP
31,VIC,Chisholm,2022,ALP,2025,ALP
32,TAS,Clark,2022,IND,2025,IND
33,NSW,Cook,2022,LP,2025,LP
34,VIC,Cooper,2022,ALP,2025,ALP
35,VIC,Corangamite,2022,ALP,2025,ALP
36,VIC,Corio,2022,ALP,2025,ALP
37,WA,Cowan,2022,ALP,2025,ALP
38,NSW,Cowper,2022,NP,2025,NP
39,NSW,Cunningham,2022,ALP,2025,ALP
40,WA,Curtin,2022,IND,2025,IND
41,QLD,Dawson,2022,LNP,2025,LNP
42,VIC,Deakin,2022,LP,2025,ALP
43,QLD,Dickson,2022,LNP,2025,ALP
44,NSW,Dobell,2022,ALP,2025,ALP
45,VIC,Dunkley,2022,ALP,2025,ALP
46,WA,Durack,2022,LP,2025,LP
47,NSW,Eden-Monaro,2022,ALP,2025,ALP
48,QLD,Fadden,2022,LNP,2025,LNP
49,QLD,Fairfax,2022,LNP,2025,LNP
50,NSW,Farrer,2022,LP,2025,LP
51,ACT,Fenner,2022,ALP,2025,ALP
52,QLD,Fisher,2022,LNP,2025,LNP
53,VIC,Flinders,2022,LP,2025,LP
54,QLD,Flynn,2022,LNP,2025,LNP
55,QLD,Forde,2022,LNP,2025,ALP
56,WA,Forrest,2022,LP,2025,LP
57,NSW,Fowler,2022,IND,2025,IND
200,VIC,Fraser,2022,ALP,2022,ALP
58,TAS,Franklin,2022,ALP,2025,ALP
59,WA,Fremantle,2022,ALP,2025,ALP
60,VIC,Gellibrand,2022,ALP,2025,ALP
61,NSW,Gilmore,2022,ALP,2025,ALP
62,VIC,Gippsland,2022,NP,2025,NP
63,VIC,Goldstein,2022,IND,2025,LP
64,VIC,Gorton,2022,ALP,2025,ALP
65,NSW,Grayndler,2022,ALP,2025,ALP
66,NSW,Greenway,2022,ALP,2025,ALP
67,SA,Grey,2022,LP,2025,LP
68,QLD,Griffith,2022,GRN,2025,ALP
69,QLD,Groom,2022,LNP,2025,LNP
70,WA,Hasluck,2022,ALP,2025,ALP
71,VIC,Hawke,2022,ALP,2025,ALP
72,QLD,Herbert,2022,LNP,2025,LNP
73,SA,Hindmarsh,2022,ALP,2025,ALP
74,QLD,Hinkler,2022,LNP,2025,LNP
75,VIC,Holt,2022,ALP,2025,ALP
76,VIC,Hotham,2022,ALP,2025,ALP
77,NSW,Hughes,2022,LP,2025,ALP
78,NSW,Hume,2022,LP,2025,LP
79,NSW,Hunter,2022,ALP,2025,ALP
80,VIC,Indi,2022,IND,2025,IND
81,VIC,Isaacs,2022,ALP,2025,ALP
82,VIC,Jagajaga,2022,ALP,2025,ALP
83,QLD,Kennedy,2022,KAP,2025,KAP
84,NSW,Kingsford Smith,2022,ALP,2025,ALP
85,SA,Kingston,2022,ALP,2025,ALP
86,VIC,Kooyong,2022,IND,2025,IND
87,VIC,La Trobe,2022,LP,2025,LP
88,VIC,Lalor,2022,ALP,2025,ALP
89,QLD,Leichhardt,2022,LP,2025,ALP
90,QLD,Lilley,2022,ALP,2025,ALP
91,NSW,Lindsay,2022,LP,2025,LP
92,NT,Lingiari,2022,ALP,2025,ALP
93,QLD,Longman,2022,LNP,2025,LNP
94,NSW,Lyne,2022,NP,2025,NP
95,TAS,Lyons,2022,ALP,2025,ALP
96,NSW,Macarthur,2022,ALP,2025,ALP
97,NSW,Mackellar,2022,IND,2025,IND
98,VIC,Macnamara,2022,ALP,2025,ALP
99,NSW,Macquarie,2022,ALP,2025,ALP
100,SA,Makin,2022,ALP,2025,ALP
101,VIC,Mallee,2022,NP,2025,NP
102,QLD,Maranoa,2022,LNP,2025,LNP
103,VIC,Maribyrnong,2022,ALP,2025,ALP
104,SA,Mayo,2022,XEN,2025,XEN
105,VIC,McEwen,2022,ALP,2025,ALP
106,NSW,McMahon,2022,ALP,2025,ALP
107,QLD,McPherson,2022,LNP,2025,LNP
108,VIC,Melbourne,2022,GRN,2025,ALP
109,VIC,Menzies,2022,LP,2025,ALP
110,NSW,Mitchell,2022,LP,2025,LP
111,VIC,Monash,2022,LP,2025,LP
112,QLD,Moncrieff,2022,LNP,2025,LNP
113,WA,Moore,2022,LP,2025,ALP
114,QLD,Moreton,2022,ALP,2025,ALP
115,NSW,New England,2022,NP,2025,NP
116,NSW,Newcastle,2022,ALP,2025,ALP
117,VIC,Nicholls,2022,NP,2025,NP
118,WA,O'Connor,2022,LP,2025,LP
119,QLD,Oxley,2022,ALP,2025,ALP
120,NSW,Page,2022,NP,2025,NP
121,NSW,Parkes,2022,NP,2025,NP
122,NSW,Parramatta,2022,ALP,2025,ALP
123,NSW,Paterson,2022,ALP,2025,ALP
124,WA,Pearce,2022,ALP,2025,ALP
125,WA,Perth,2022,ALP,2025,ALP
126,QLD,Petrie,2022,LNP,2025,ALP
127,QLD,Rankin,2022,ALP,2025,ALP
128,NSW,Reid,2022,ALP,2025,ALP
129,NSW,Richmond,2022,ALP,2025,ALP
130,NSW,Riverina,2022,NP,2025,NP
131,NSW,Robertson,2022,ALP,2025,ALP
132,QLD,Ryan,2022,GRN,2025,GRN
133,VIC,Scullin,2022,ALP,2025,ALP
134,NSW,Shortland,2022,ALP,2025,ALP
135,NT,Solomon,2022,ALP,2025,ALP
136,SA,Spence,2022,ALP,2025,ALP
137,SA,Sturt,2022,LP,2025,ALP
138,WA,Swan,2022,ALP,2025,ALP
139,NSW,Sydney,2022,ALP,2025,ALP
140,WA,Tangney,2022,ALP,2025,ALP
141,VIC,Wannon,2022,LP,2025,LP
142,NSW,Warringah,2022,IND,2025,IND
143,NSW,Watson,2022,ALP,2025,ALP
144,NSW,Wentworth,2022,IND,2025,IND
145,NSW,Werriwa,2022,ALP,2025,ALP
146,NSW,Whitlam,2022,ALP,2025,ALP
147,QLD,Wide Bay,2022,LNP,2025,LNP
148,VIC,Wills,2022,ALP,2025,ALP
149,QLD,Wright,2022,LNP,2025,LNP
