Row,State,DivisionNm,Year1,Party1,Year2,Party2
134,NSW,Shortland,2004,ALP,2007,ALP
135,NT,Solomon,2004,CLP,2007,ALP
136,SA,Spence,2004,LP,2007,ALP
137,SA,Sturt,2004,LP,2007,LP
138,WA,Swan,2004,ALP,2007,LP
139,NSW,Sydney,2004,ALP,2007,ALP
140,WA,Tangney,2004,LP,2007,LP
141,VIC,Wannon,2004,LP,2007,LP
142,NSW,Warringah,2004,LP,2007,LP
143,NSW,Watson,2004,ALP,2007,ALP
144,NSW,Wentworth,2004,LP,2007,LP
145,NSW,Werriwa,2004,ALP,2007,ALP
146,NSW,Whitlam,2004,ALP,2007,ALP
147,QLD,Wide Bay,2004,NP,2007,NP
148,VIC,Wills,2004,ALP,2007,ALP
149,QLD,Wright,2004,,2007,
1,SA,Adelaide,2007,ALP,2010,ALP
2,VIC,Aston,2007,LP,2010,LP
3,VIC,Ballarat,2007,ALP,2010,ALP
4,NSW,Banks,2007,ALP,2010,ALP
5,SA,Barker,2007,LP,2010,LP
6,NSW,Barton,2007,ALP,2010,ALP
7,TAS,Bass,2007,ALP,2010,ALP
8,ACT,Bean,2007,,2010,
9,VIC,Bendigo,2007,ALP,2010,ALP
10,NSW,Bennelong,2007,ALP,2010,LP
11,NSW,Berowra,2007,LP,2010,LP
12,QLD,Blair,2007,ALP,2010,ALP
13,NSW,Blaxland,2007,ALP,2010,ALP
14,QLD,Bonner,2007,ALP,2010,LNQ
15,SA,Boothby,2007,LP,2010,LP
16,QLD,Bowman,2007,LP,2010,LNQ
17,TAS,Braddon,2007,ALP,2010,ALP
18,NSW,Bradfield,2007,LP,2010,LP
19,WA,Brand,2007,ALP,2010,ALP
20,QLD,Brisbane,2007,ALP,2010,LNQ
21,VIC,Bruce,2007,ALP,2010,ALP
22,WA,Bullwinkel,2007,,2010,
23,WA,Burt,2007,,2010,
24,NSW,Calare,2007,NP,2010,NP
25,VIC,Calwell,2007,ALP,2010,ALP
26,ACT,Canberra,2007,ALP,2010,ALP
27,WA,Canning,2007,LP,2010,LP
28,QLD,Capricornia,2007,ALP,2010,ALP
29,VIC,Casey,2007,LP,2010,LP
30,NSW,Chifley,2007,ALP,2010,ALP
31,VIC,Chisholm,2007,ALP,2010,ALP
32,TAS,Clark,2007,ALP,2010,IND
33,NSW,Cook,2007,LP,2010,LP
34,VIC,Cooper,2007,ALP,2010,ALP
35,VIC,Corangamite,2007,ALP,2010,ALP
36,VIC,Corio,2007,ALP,2010,ALP
37,WA,Cowan,2007,LP,2010,LP
38,NSW,Cowper,2007,NP,2010,NP
39,NSW,Cunningham,2007,ALP,2010,ALP
40,WA,Curtin,2007,LP,2010,LP
41,QLD,Dawson,2007,ALP,2010,LNQ
42,VIC,Deakin,2007,ALP,2010,ALP
43,QLD,Dickson,2007,LP,2010,LNQ
44,NSW,Dobell,2007,ALP,2010,ALP
45,VIC,Dunkley,2007,LP,2010,LP
46,WA,Durack,2007,LP,2010,LP
47,NSW,Eden-Monaro,2007,ALP,2010,ALP
48,QLD,Fadden,2007,LP,2010,LNQ
49,QLD,Fairfax,2007,LP,2010,LNQ
50,NSW,Farrer,2007,LP,2010,LP
51,ACT,Fenner,2007,ALP,2010,ALP
52,QLD,Fisher,2007,LP,2010,LNQ
53,VIC,Flinders,2007,LP,2010,LP
54,QLD,Flynn,2007,ALP,2010,LNQ
55,QLD,Forde,2007,ALP,2010,LNQ
56,WA,Forrest,2007,LP,2010,LP
57,NSW,Fowler,2007,ALP,2010,ALP
58,TAS,Franklin,2007,ALP,2010,ALP
59,WA,Fremantle,2007,ALP,2010,ALP
60,VIC,Gellibrand,2007,ALP,2010,ALP
61,NSW,Gilmore,2007,LP,2010,LP
62,VIC,Gippsland,2007,NP,2010,NP
63,VIC,Goldstein,2007,LP,2010,LP
64,VIC,Gorton,2007,ALP,2010,ALP
65,NSW,Grayndler,2007,ALP,2010,ALP
66,NSW,Greenway,2007,LP,2010,ALP
67,SA,Grey,2007,LP,2010,LP
68,QLD,Griffith,2007,ALP,2010,ALP
69,QLD,Groom,2007,LP,2010,LNQ
70,WA,Hasluck,2007,ALP,2010,LP
71,VIC,Hawke,2007,,2010,
72,QLD,Herbert,2007,LP,2010,LNQ
73,SA,Hindmarsh,2007,ALP,2010,ALP
74,QLD,Hinkler,2007,NP,2010,LNQ
75,VIC,Holt,2007,ALP,2010,ALP
76,VIC,Hotham,2007,ALP,2010,ALP
77,NSW,Hughes,2007,LP,2010,LP
78,NSW,Hume,2007,LP,2010,LP
79,NSW,Hunter,2007,ALP,2010,ALP
80,VIC,Indi,2007,LP,2010,LP
81,VIC,Isaacs,2007,ALP,2010,ALP
82,VIC,Jagajaga,2007,ALP,2010,ALP
83,QLD,Kennedy,2007,IND,2010,IND
84,NSW,Kingsford Smith,2007,ALP,2010,ALP
85,SA,Kingston,2007,ALP,2010,ALP
86,VIC,Kooyong,2007,LP,2010,LP
87,VIC,La Trobe,2007,LP,2010,ALP
88,VIC,Lalor,2007,ALP,2010,ALP
89,QLD,Leichhardt,2007,ALP,2010,LNQ
90,QLD,Lilley,2007,ALP,2010,ALP
91,NSW,Lindsay,2007,ALP,2010,ALP
92,NT,Lingiari,2007,ALP,2010,ALP
93,QLD,Longman,2007,ALP,2010,LNQ
94,NSW,Lyne,2007,NP,2010,IND
95,TAS,Lyons,2007,ALP,2010,ALP
96,NSW,Macarthur,2007,LP,2010,LP
97,NSW,Mackellar,2007,LP,2010,LP
98,VIC,Macnamara,2007,ALP,2010,ALP
99,NSW,Macquarie,2007,ALP,2010,LP
100,SA,Makin,2007,ALP,2010,ALP
101,VIC,Mallee,2007,NP,2010,NP
102,QLD,Maranoa,2007,NP,2010,LNQ
103,VIC,Maribyrnong,2007,ALP,2010,ALP
104,SA,Mayo,2007,LP,2010,LP
105,VIC,McEwen,2007,LP,2010,ALP
106,NSW,McMahon,2007,ALP,2010,ALP
107,QLD,McPherson,2007,LP,2010,LNQ
108,VIC,Melbourne,2007,ALP,2010,GRN
109,VIC,Menzies,2007,LP,2010,LP
110,NSW,Mitchell,2007,LP,2010,LP
111,VIC,Monash,2007,LP,2010,LP
112,QLD,Moncrieff,2007,LP,2010,LNQ
113,WA,Moore,2007,LP,2010,LP
114,QLD,Moreton,2007,ALP,2010,ALP
115,NSW,New England,2007,IND,2010,IND
116,NSW,Newcastle,2007,ALP,2010,ALP
117,VIC,Nicholls,2007,LP,2010,LP
118,WA,O'Connor,2007,LP,2010,NP
119,QLD,Oxley,2007,ALP,2010,ALP
120,NSW,Page,2007,ALP,2010,ALP
121,NSW,Parkes,2007,NP,2010,NP
122,NSW,Parramatta,2007,ALP,2010,ALP
123,NSW,Paterson,2007,LP,2010,LP
124,WA,Pearce,2007,LP,2010,LP
125,WA,Perth,2007,ALP,2010,ALP
126,QLD,Petrie,2007,ALP,2010,ALP
127,QLD,Rankin,2007,ALP,2010,ALP
128,NSW,Reid,2007,ALP,2010,ALP
129,NSW,Richmond,2007,ALP,2010,ALP
130,NSW,Riverina,2007,NP,2010,NP
131,NSW,Robertson,2007,ALP,2010,ALP
132,QLD,Ryan,2007,LP,2010,LNQ
133,VIC,Scullin,2007,ALP,2010,ALP
134,NSW,Shortland,2007,ALP,2010,ALP
135,NT,Solomon,2007,ALP,2010,CLP
136,SA,Spence,2007,ALP,2010,ALP
137,SA,Sturt,2007,LP,2010,LP
138,WA,Swan,2007,LP,2010,LP
139,NSW,Sydney,2007,ALP,2010,ALP
140,WA,Tangney,2007,LP,2010,LP
141,VIC,Wannon,2007,LP,2010,LP
142,NSW,Warringah,2007,LP,2010,LP
143,NSW,Watson,2007,ALP,2010,ALP
144,NSW,Wentworth,2007,LP,2010,LP
145,NSW,Werriwa,2007,ALP,2010,ALP
146,NSW,Whitlam,2007,ALP,2010,ALP
147,QLD,Wide Bay,2007,NP,2010,LNQ
148,VIC,Wills,2007,ALP,2010,ALP
149,QLD,Wright,2007,,2010,LNQ
1,SA,Adelaide,2010,ALP,2013,ALP
2,VIC,Aston,2010,LP,2013,LP
3,VIC,Ballarat,2010,ALP,2013,ALP
4,NSW,Banks,2010,ALP,2013,LP
