Row,PartyAb,Party,Seats Elected,TotalVotes,TotalPercentage,Year,TotalSeats,Seat Percentage
81,AFN,Australia First Party (NSW) Incorporated,0,6786,0.05,2019,151,0
82,SEP,Socialist Equality Party,0,2866,0.02,2019,151,0
83,REAS,Reason Australia,0,8895,0.06,2019,151,0
84,SAL,Socialist Alliance,0,2447,0.02,2019,151,0
85,VNS,Victorian Socialists,0,12453,0.09,2019,151,0
86,CEC,Citizens Electoral Council,0,3267,0.02,2019,151,0
87,ABFA,Australian Better Families,0,2072,0.01,2019,151,0
88,AUD,Australian Democrats,0,2039,0.01,2019,151,0
89,AWP,Australian Workers Party,0,1676,0.01,2019,151,0
90,CPP,Child Protection Party,0,1219,0.01,2019,151,0
91,IMO,Involuntary Medication Objectors (Vaccination/Fluoride) Party,0,1179,0.01,2019,151,0
92,LAOL,Love Australia or Leave,0,1564,0.01,2019,151,0
93,NCP,Non-Custodial Parents Party,0,1213,0.01,2019,151,0
94,FLUX,VOTEFLUX.ORG | Upgrade Democracy!,0,602,0,2019,151,0
95,NAFD,Non Affiliated,0,2143,0.02,2019,151,0
96,LP,Liberal Party,44,3989404,27.99,2019,151,0.291390728
97,LNP,Liberal National Party of Queensland,23,1236401,8.67,2019,151,0.152317881
98,ALP,Australian Labor Party,68,4752160,33.34,2019,151,0.450331126
99,NP,Country Party / The Nationals,10,642233,4.51,2019,151,0.066225166
100,IND,Independent,3,479836,3.37,2019,151,0.01986755
101,GRN,The Greens,1,1482923,10.4,2019,151,0.006622517
102,KAP,Katter's Australian Party,1,69736,0.49,2019,151,0.006622517
103,XEN,Centre Alliance,1,46931,0.33,2019,151,0.006622517
104,LP,Liberal Party,45,3882905,28.67,2016,150,0.3
105,CLP,Country Liberal Party,0,32409,0.24,2016,150,0
106,FFP,Family First,0,201222,1.49,2016,150,0
107,CDP,Christian Democratic Party,0,178026,1.31,2016,150,0
108,ASXP,Australian Sex Party,0,12683,0.09,2016,150,0
109,RUA,Rise Up Australia Party,0,68418,0.51,2016,150,0
110,AUC,Australian Christians,0,43150,0.32,2016,150,0
111,DLP,DLP - Democratic Labour Party,0,3166,0.02,2016,150,0
112,ON,One Nation,0,175020,1.29,2016,150,0
113,BTA,Bullet Train For Australia,0,14078,0.1,2016,150,0
114,CEC,Citizens Electoral Council,0,5175,0.04,2016,150,0
115,AFN,Australia First Party (NSW) Incorporated,0,6895,0.05,2016,150,0
116,SAL,Socialist Alliance,0,3653,0.03,2016,150,0
117,LDP,Liberal Democrats (LDP),0,66261,0.49,2016,150,0
118,CYA,Australian Country Party,0,7033,0.05,2016,150,0
119,SPP,Sustainable Australia,0,606,0,2016,150,0
120,AJP,Animal Justice Party,0,94516,0.7,2016,150,0
121,NCP,Non-Custodial Parents Party,0,3663,0.03,2016,150,0
122,FUT,Science Party,0,14988,0.11,2016,150,0
123,VEP,Voluntary Euthanasia Party,0,973,0.01,2016,150,0
124,SOL,Online Direct Democracy,0,8511,0.06,2016,150,0
125,AAPP,Australian Antipaedophile Party,0,1527,0.01,2016,150,0
126,CYC,Australian Cyclists Party,0,846,0.01,2016,150,0
127,ADVP,Australian Defence Veterans Party,0,4360,0.03,2016,150,0
128,AEQ,Australian Equality Party (Marriage),0,3296,0.02,2016,150,0
129,ALA,Australian Liberty Alliance,0,25337,0.19,2016,150,0
130,AUP,Australian Progressives,0,282,0,2016,150,0
131,ARF,Australian Recreational Fishers,0,11254,0.08,2016,150,0
132,CRNT,Consumer Rights & No-Tolls,0,2050,0.02,2016,150,0
133,CM,CountryMinded,0,3478,0.03,2016,150,0
134,DHJP,Derryn Hinch's Justice Party,0,16885,0.12,2016,150,0
135,DRF,Drug Law Reform,0,20350,0.15,2016,150,0
136,GLT,Glenn Lazarus Team,0,10094,0.07,2016,150,0
137,HMP,HEMP,0,1143,0.01,2016,150,0
138,MAP,Mature Australia Party,0,5888,0.04,2016,150,0
139,NAFD,Non Affiliated,0,2958,0.02,2016,150,0
140,ODR,Outdoor Recreation Party (Stop The Greens),0,2375,0.02,2016,150,0
141,PIR,Pirate Party,0,1260,0.01,2016,150,0
142,REP,Renewable Energy Party,0,8642,0.06,2016,150,0
143,ASP,"Shooters, Fishers and Farmers",0,15477,0.11,2016,150,0
144,SMK,Smokers Rights Party,0,1343,0.01,2016,150,0
145,SEP,Socialist Equality Party,0,1608,0.01,2016,150,0
146,TAP,The Arts Party,0,6821,0.05,2016,150,0
147,LNP,Liberal National Party of Queensland,21,1153736,8.52,2016,150,0.14
148,ALP,Australian Labor Party,69,4702296,34.73,2016,150,0.46
149,NP,Country Party / The Nationals,10,624555,4.61,2016,150,0.066666667
150,IND,Independent,2,380712,2.81,2016,150,0.013333333
151,GRN,The Greens,1,1385650,10.23,2016,150,0.006666667
152,KAP,Katter's Australian Party,1,72879,0.54,2016,150,0.006666667
153,XEN,Centre Alliance,1,250333,1.85,2016,150,0.006666667
154,PUP,Palmer United Australia Party,0,315,0,2016,150,0
155,LP,Liberal Party,58,4134865,32.02,2013,150,0.386666667
156,CLP,Country Liberal Party,1,41468,0.32,2013,150,0.006666667
157,FFP,Family First,0,181820,1.41,2013,150,0
158,RUA,Rise Up Australia Party,0,48582,0.38,2013,150,0
159,CDP,Christian Democratic Party,0,88576,0.69,2013,150,0
160,ASXP,Australian Sex Party,0,78571,0.61,2013,150,0
161,DLP,DLP - Democratic Labour Party,0,36086,0.28,2013,150,0
162,AUC,Australian Christians,0,42498,0.33,2013,150,0
163,CEC,Citizens Electoral Council,0,10400,0.08,2013,150,0
164,ON,One Nation,0,22046,0.17,2013,150,0
165,BTA,Bullet Train For Australia,0,19801,0.15,2013,150,0
166,AFN,Australia First Party (NSW) Incorporated,0,7412,0.06,2013,150,0
167,SPP,Stable Population Party,0,3954,0.03,2013,150,0
168,SPA,Secular Party of Australia,0,4834,0.04,2013,150,0
169,CYA,Country Alliance,0,4708,0.04,2013,150,0
170,SAL,Socialist Alliance,0,5032,0.04,2013,150,0
171,AIN,Australian Independents,0,4163,0.03,2013,150,0
172,VCE,Australian Voice Party,0,1681,0.01,2013,150,0
173,APP,Australian Protectionist Party,0,1079,0.01,2013,150,0
174,DEM,Democrats,0,3614,0.03,2013,150,0
175,NCP,Non-Custodial Parents Party,0,1547,0.01,2013,150,0
176,AJP,Animal Justice Party,0,1878,0.01,2013,150,0
177,FNPP,A.F.N.P.P,0,1810,0.01,2013,150,0
178,FUT,Future Party,0,1174,0.01,2013,150,0
179,LDP,Liberal Democrats (LDP),0,4716,0.04,2013,150,0
180,SOL,Senator Online,0,209,0,2013,150,0
181,SPRT,Australian Sports Party,0,1324,0.01,2013,150,0
182,UNP,Uniting Australia Party,0,386,0,2013,150,0
183,VEP,Voluntary Euthanasia Party,0,597,0,2013,150,0
184,NAFD,Non Affiliated,0,4850,0.04,2013,150,0
185,LNP,Liberal National Party of Queensland,22,1152217,8.92,2013,150,0.146666667
186,NP,Country Party / The Nationals,9,554268,4.29,2013,150,0.06
187,ALP,Australian Labor Party,55,4311365,33.38,2013,150,0.366666667
188,IND,Independent,2,177217,1.37,2013,150,0.013333333
189,GRN,The Greens,1,1116918,8.65,2013,150,0.006666667
190,KAP,Katter's Australian Party,1,134226,1.04,2013,150,0.006666667
191,PUP,Palmer United Australia Party,1,709035,5.49,2013,150,0.006666667
192,LP,Liberal Party,44,3777383,30.46,2010,150,0.293333333
193,FFP,Family First,0,279330,2.25,2010,150,0
194,CDP,CDP Christian Party,0,83009,0.67,2010,150,0
195,DEM,Democrats,0,22376,0.18,2010,150,0
196,CLP,Country Liberal Party,1,38335,0.31,2010,150,0.006666667
197,ON,One Nation,0,27184,0.22,2010,150,0
198,CEC,Citizens Electoral Council,0,8017,0.06,2010,150,0
199,LDP,Liberal Democrats (LDP),0,24262,0.2,2010,150,0
200,SAL,Socialist Alliance,0,9348,0.08,2010,150,0
201,DLP,DLP - Democratic Labor Party,0,5212,0.04,2010,150,0
202,SEP,Socialist Equality Party,0,11160,0.09,2010,150,0
203,AFN,Australia First Party (NSW) Incorporated,0,3670,0.03,2010,150,0
204,ASXP,Australian Sex Party,0,11263,0.09,2010,150,0
205,BAP,Building Australia Party,0,1497,0.01,2010,150,0
206,CA,Carers Alliance,0,1458,0.01,2010,150,0
207,CAL,Communist Alliance,0,656,0.01,2010,150,0
208,NCP,Non-Custodial Parents Party,0,2835,0.02,2010,150,0
209,SPA,Secular Party of Australia,0,12752,0.1,2010,150,0
210,TCS,The Climate Sceptics,0,4339,0.03,2010,150,0
211,NAFD,Non Affiliated,0,2508,0.02,2010,150,0
212,LNP,Liberal National Party of Queensland,21,1130525,9.12,2010,150,0.14
213,ALP,Australian Labor Party,72,4711363,37.99,2010,150,0.48
214,NP,Country Party / The Nationals,7,462387,3.73,2010,150,0.046666667
215,IND,Independent,4,312496,2.52,2010,150,0.026666667
216,GRN,The Greens,1,1458998,11.76,2010,150,0.006666667
217,LP,Liberal Party,55,4506302,36.28,2007,150,0.366666667
218,ALP,Australian Labor Party,83,5388184,43.38,2007,150,0.553333333
219,FFP,Family First,0,246798,1.99,2007,150,0
220,DEM,Democrats,0,89813,0.72,2007,150,0
221,ON,One Nation,0,32650,0.26,2007,150,0
222,CDP,CDP Christian Party,0,104705,0.84,2007,150,0
223,CEC,Citizens Electoral Council,0,27880,0.22,2007,150,0
224,CLP,Country Liberal Party,0,40298,0.32,2007,150,0
225,SAL,Socialist Alliance,0,9973,0.08,2007,150,0
226,FPY,The Fishing Party,0,2083,0.02,2007,150,0
227,DLP,DLP - Democratic Labor Party,0,6018,0.05,2007,150,0
228,CCC,Climate Change Coalition,0,9470,0.08,2007,150,0
229,CCE,Conservatives for Climate and Environment Incorporated,0,3239,0.03,2007,150,0
230,LDP,Liberty and Democracy Party,0,17048,0.14,2007,150,0
231,NCP,Non-Custodial Parents Party,0,795,0.01,2007,150,0
232,SEP,Socialist Equality Party,0,4283,0.03,2007,150,0
233,WWW,What Women Want (Australia),0,3870,0.03,2007,150,0
234,NAFD,Non Affiliated,0,1234,0.01,2007,150,0
235,NP,Country Party / The Nationals,10,682424,5.49,2007,150,0.066666667
236,IND,Independent,2,275136,2.22,2007,150,0.013333333
237,GRN,The Greens,0,967789,7.79,2007,150,0
238,LP,Liberal Party,74,4741458,40.47,2004,150,0.493333333
239,DEM,Democrats,0,144832,1.24,2004,150,0
240,HAN,One Nation,0,139956,1.19,2004,150,0
241,CDP,CDP Christian Party,0,72241,0.62,2004,150,0
242,CLP,Country Liberal Party,1,39855,0.34,2004,150,0.006666667
243,CEC,Citizens Electoral Council,0,42349,0.36,2004,150,0
244,LFF,liberals for forests,0,8165,0.07,2004,150,0
245,NGST,No GST,0,7802,0.07,2004,150,0
246,SAS,Save the ADI Site Party,0,3490,0.03,2004,150,0
247,PLP,Progressive Labour Party,0,3775,0.03,2004,150,0
248,LEF,Lower Excise Fuel and Beer Party,0,2007,0.02,2004,150,0
249,HMP,HEMP,0,787,0.01,2004,150,0
250,NCP,Non-Custodial Parents Party,0,1132,0.01,2004,150,0
251,FPY,The Fishing Party,0,2516,0.02,2004,150,0
252,ORP,Outdoor Recreation Party,0,3505,0.03,2004,150,0
253,DLP,DLP - Democratic Labor Party,0,1372,0.01,2004,150,0
254,VET,"Ex-Service, Service & Veterans Party",0,4369,0.04,2004,150,0
255,FFP,Family First,0,235315,2.01,2004,150,0
256,NCO,New Country Party,0,9439,0.08,2004,150,0
257,NDP,Nuclear Disarmament Party,0,341,0,2004,150,0
258,SAL,Socialist Alliance,0,14155,0.12,2004,150,0
259,ADP,The Aged and Disability Pensioners Party,0,285,0,2004,150,0
260,TGA,The Great Australians,0,2824,0.02,2004,150,0
261,NAFD,Non Affiliated,0,5830,0.05,2004,150,0
262,NP,Country Party / The Nationals,12,690275,5.89,2004,150,0.08
263,ALP,Australian Labor Party,60,4409117,37.64,2004,150,0.4
264,IND,Independent,3,286206,2.44,2004,150,0.02
265,GRN,The Greens,0,841734,7.19,2004,150,0
266,LP,Liberal Party,68,,,2001,150,0.453333333
267,CLP,Country Liberal Party,1,,,2001,150,0.006666667
268,NP,Country Party / The Nationals,13,,,2001,150,0.086666667
269,ALP,Australian Labor Party,65,,,2001,150,0.433333333
270,IND,Independent,3,,,2001,150,0.02
271,LP,Liberal Party,64,,,1998,148,0.432432432
272,NP,Country Party / The Nationals,16,,,1998,148,0.108108108
273,ALP,Australian Labor Party,67,,,1998,148,0.452702703
274,IND,Independent,1,,,1998,148,0.006756757
275,LP,Liberal Party,75,,,1996,148,0.506756757
276,NP,Country Party / The Nationals,18,,,1996,148,0.121621622
277,CLP,Country Liberal Party,1,,,1996,148,0.006756757
278,ALP,Australian Labor Party,49,,,1996,148,0.331081081
279,IND,Independent,5,,,1996,148,0.033783784
280,LP,Liberal Party,49,,,1993,147,0.333333333
281,ALP,Australian Labor Party,80,,,1993,147,0.544217687
282,NP,Country Party / The Nationals,16,,,1993,147,0.108843537
283,IND,Independent,2,,,1993,147,0.013605442
284,LP,Liberal Party,55,,,1990,148,0.371621622
285,ALP,Australian Labor Party,78,,,1990,148,0.527027027
286,NP,Country Party / The Nationals,14,,,1990,148,0.094594595
287,ALP,Australian Labor Party,86,,,1987,148,0.581081081
288,LP,Liberal Party,43,,,1987,148,0.290540541
289,NP,Country Party / The Nationals,19,,,1987,148,0.128378378
290,ALP,Australian Labor Party,82,,,1984,148,0.554054054
291,LP,Liberal Party,44,,,1984,148,0.297297297
292,NP,Country Party / The Nationals,21,,,1984,148,0.141891892
293,CLP,Country Liberal Party,1,,,1984,148,0.006756757
294,LP,Liberal Party,33,,,1983,125,0.264
295,ALP,Australian Labor Party,75,,,1983,125,0.6
296,NP,Country Party / The Nationals,17,,,1983,125,0.136
297,LP,Liberal Party,54,,,1980,125,0.432
298,NP,Country Party / The Nationals,20,,,1980,125,0.16
299,ALP,Australian Labor Party,51,,,1980,125,0.408
300,LP,Liberal Party,67,,,1977,124,0.540322581
301,NP,Country Party / The Nationals,18,,,1977,124,0.14516129
302,CLP,Country Liberal Party,1,,,1977,124,0.008064516
303,ALP,Australian Labor Party,38,,,1977,124,0.306451613
304,LP,Liberal Party,68,,,1975,127,0.535433071
305,NP,Country Party / The Nationals,22,,,1975,127,0.173228346
306,CLP,Country Liberal Party,1,,,1975,127,0.007874016
307,ALP,Australian Labor Party,36,,,1975,127,0.283464567
308,LP,Liberal Party,40,,,1974,125,0.32
309,ALP,Australian Labor Party,66,,,1974,125,0.528
310,NP,Country Party / The Nationals,21,,,1974,125,0.168
311,LP,Liberal Party,38,,,1972,125,0.304
312,ALP,Australian Labor Party,67,,,1972,125,0.536
313,NP,Country Party / The Nationals,20,,,1972,125,0.16
314,LP,Liberal Party,46,,,1969,125,0.368
315,ALP,Australian Labor Party,59,,,1969,125,0.472
316,NP,Country Party / The Nationals,20,,,1969,125,0.16
317,LP,Liberal Party,61,,,1966,124,0.491935484
318,NP,Country Party / The Nationals,21,,,1966,124,0.169354839
319,ALP,Australian Labor Party,41,,,1966,124,0.330645161
320,IND,Independent,1,,,1966,124,0.008064516
321,LP,Liberal Party,52,,,1963,124,0.419354839
322,ALP,Australian Labor Party,52,,,1963,124,0.419354839
323,NP,Country Party / The Nationals,20,,,1963,124,0.161290323
324,LP,Liberal Party,45,,,1961,124,0.362903226
325,ALP,Australian Labor Party,62,,,1961,124,0.5
326,NP,Country Party / The Nationals,17,,,1961,124,0.137096774
327,LP,Liberal Party,58,,,1958,124,0.467741935
328,NP,Country Party / The Nationals,19,,,1958,124,0.153225806
329,ALP,Australian Labor Party,47,,,1958,124,0.379032258
330,LP,Liberal Party,57,,,1955,124,0.459677419
331,ALP,Australian Labor Party,49,,,1955,124,0.39516129
332,NP,Country Party / The Nationals,18,,,1955,124,0.14516129
333,LP,Liberal Party,47,,,1954,123,0.382113821
334,ALP,Australian Labor Party,59,,,1954,123,0.479674797
335,NP,Country Party / The Nationals,17,,,1954,123,0.138211382
336,LP,Liberal Party,52,,,1951,123,0.422764228
337,ALP,Australian Labor Party,54,,,1951,123,0.43902439
338,NP,Country Party / The Nationals,17,,,1951,123,0.138211382
339,LP,Liberal Party,55,,,1949,123,0.447154472
340,NP,Country Party / The Nationals,19,,,1949,123,0.154471545
341,ALP,Australian Labor Party,48,,,1949,123,0.390243902
342,IND,Independent,1,,,1949,123,0.008130081
343,LP,Liberal Party,15,,,1946,75,0.2
344,ALP,Australian Labor Party,43,,,1946,75,0.573333333
345,LCL,Liberal Country League,2,,,1946,75,0.026666667
346,IND,Independent,2,,,1946,75,0.026666667
347,NP,Country Party / The Nationals,12,,,1946,75,0.16
348,LANG LAB,Lang Labor Party,1,,,1946,75,0.013333333
349,UAP,United Australia Party,12,,,1943,75,0.16
350,IND,Independent,6,,,1943,75,0.08
351,ALP,Australian Labor Party,49,,,1943,75,0.653333333
352,NP,Country Party / The Nationals,8,,,1943,75,0.106666667
353,UAP,United Australia Party,23,,,1940,75,0.306666667
354,IND,Independent,6,,,1940,75,0.08
355,ANTI-COM LAB,Anti-Communist Labor Party,4,,,1940,75,0.053333333
356,ALP,Australian Labor Party,32,,,1940,75,0.426666667
357,NP,Country Party / The Nationals,10,,,1940,75,0.133333333
358,UAP,United Australia Party,28,,,1937,75,0.373333333
359,IND,Independent,6,,,1937,75,0.08
360,NP,Country Party / The Nationals,12,,,1937,75,0.16
361,ALP,Australian Labor Party,29,,,1937,75,0.386666667
362,UAP,United Australia Party,27,,,1934,75,0.36
363,LANG LAB,Lang Labor Party,9,,,1934,75,0.12
364,IND,Independent,4,,,1934,75,0.053333333
365,LCL,Liberal Country League,5,,,1934,75,0.066666667
366,NP,Country Party / The Nationals,12,,,1934,75,0.16
367,ALP,Australian Labor Party,18,,,1934,75,0.24
368,UAP,United Australia Party,34,,,1931,76,0.447368421
369,IND,Independent,7,,,1931,76,0.092105263
370,LANG LAB,Lang Labor Party,4,,,1931,76,0.052631579
371,NP,Country Party / The Nationals,16,,,1931,76,0.210526316
372,ALP,Australian Labor Party,15,,,1931,76,0.197368421
373,NAT,Nationalist Party,14,,,1929,76,0.184210526
374,IND,Independent,5,,,1929,76,0.065789474
375,ALP,Australian Labor Party,47,,,1929,76,0.618421053
376,NP,Country Party / The Nationals,10,,,1929,76,0.131578947
377,NAT,Nationalist Party,29,,,1928,76,0.381578947
378,NP,Country Party / The Nationals,13,,,1928,76,0.171052632
379,IND,Independent,2,,,1928,76,0.026315789
