DivisionID,Electoral Division,State,CandidateID,GivenNm,Surname,Party,PartyAb,ElectYear
177,Ryan,Queensland,41285,Elizabeth,WATSON-BROWN,Australian Greens,GRN,2025
232,Scullin,Victoria,40819,Andrew,GILES,Australian Labor Party,ALP,2025
148,Shortland,New South Wales,41347,Pat,CONROY,Australian Labor Party,ALP,2025
307,Solomon,Northern Territory,41012,Luke John,GOSLING,Australian Labor Party,ALP,2025
325,Spence,South Australia,41198,Matt,BURNELL,Australian Labor Party,ALP,2025
190,Sturt,South Australia,41209,Claire,CLUTTERHAM,Australian Labor Party,ALP,2025
247,Swan,Western Australia,41456,Zaneta,MASCARENHAS,Australian Labor Party,ALP,2025
149,Sydney,New South Wales,41342,Tanya,PLIBERSEK,Australian Labor Party,ALP,2025
248,Tangney,Western Australia,41470,Sam,LIM,Australian Labor Party,ALP,2025
233,Wannon,Victoria,40770,Dan,TEHAN,Liberal Party,LP,2025
151,Warringah,New South Wales,32467,Zali,STEGGALL,Independent,IND,2025
251,Watson,New South Wales,41331,Tony,BURKE,Australian Labor Party,ALP,2025
152,Wentworth,New South Wales,37451,Allegra,SPENDER,Independent,IND,2025
153,Werriwa,New South Wales,41328,Anne Maree,STANLEY,Australian Labor Party,ALP,2025
150,Whitlam,New South Wales,41333,Carol,BERRY,Australian Labor Party,ALP,2025
178,Wide Bay,Queensland,41195,Llew,O''BRIEN,Liberal National Party of Queensland,LNP,2025
234,Wills,Victoria,40810,Peter,KHALIL,Australian Labor Party,ALP,2025
316,Wright,Queensland,41199,Scott,BUCHHOLZ,Liberal National Party of Queensland,LNP,2025
