No.,Surname,GivenName,Party,StartDate,OppStart,EndDate,OppEnd,Period in Office,Length,TotalLength
7,Charlton,Matthew,ALP,16/05/1922,-1503100800000,29/03/1928,-1315440000000,16.05.1922 – 29.03.1928,"5 years, 10 months, 14 days","5 years, 10 months, 14 days"
8,Scullin,James Henry,ALP,26/04/1928,-1315440000000,22/10/1929,-1265932800000,26.04.1928 – 22.10.1929 (1/2),"1 year, 5 months, 27 days","5 years, 2 months, 21 days"
9,Latham,John Greig,NAT,20/11/1929,-1265932800000,7/05/1931,-1219881600000,20.11.1929 – 07.05.1931,"1 year, 5 months, 18 days","1 year, 5 months, 18 days"
10,Lyons,Joseph Aloysius,UAP,7/05/1931,-1219881600000,6/01/1932,-1198713600000,07.05.1931 – 06.01.1932,9 months,9 months
,Scullin,James Henry,ALP,7/01/1932,-1198713600000,1/10/1935,-1080950400000,07.01.1932 – 01.10.1935 (2/2),"3 years, 8 months, 25 days","5 years, 2 months, 21 days"
11,Curtin,John,ALP,1/10/1935,-1080950400000,7/10/1941,-890956800000,01.10.1935 – 07.10.1941,"6 years, 7 days","6 years, 7 days"
12,Fadden,Arthur William,CP,8/10/1941,-890956800000,23/09/1943,-829180800000,08.10.1941 – 23.09.1943,"1 year, 11 months, 16 days","1 year, 11 months, 16 days"
13,Menzies,Robert Gordon,LIB,23/09/1943,-829180800000,19/12/1949,-626745600000,23.09.1943 – 19.12.1949,"6 years, 2 months, 27 days","6 years, 2 months, 27 days"
14,Chifley,Joseph Benedict,ALP,21/02/1950,-626745600000,13/06/1951,-584928000000,21.02.1950 – 13.06.1951,"1 year, 3 months, 24 days","1 year, 3 months, 24 days"
15,Evatt,Herbert Vere,ALP,20/06/1951,-584928000000,9/02/1960,-309916800000,20.06.1951 – 09.02.1960,"8 years, 7 months, 21 days","8 years, 7 months, 21 days"
16,Calwell,Arthur Augustus,ALP,7/03/1960,-309916800000,8/02/1967,-91411200000,07.03.1960 – 08.02.1967,"6 years, 11 months, 2 days","6 years, 11 months, 2 days"
