DivisionID,DivisionNm,State,TotalVotes,TotalPercentage,Year,Percent,AnnotationAUS,AnnotationACT,AnnotationNSW,AnnotationNT,AnnotationQLD,AnnotationSA,AnnotationTAS,AnnotationVIC,AnnotationWA
224,Mallee,Victoria,111256,91.49,2025,0.9149,,,,,,,,,
104,Barton,New South Wales,110498,91.5,2025,0.915,The electorate with the median voter turnout is #Barton in New South Wales with a turnout of,,,,,,,,
118,Farrer,New South Wales,113310,91.56,2025,0.9156,,,,,,,,,
234,Wills,Victoria,114735,91.59,2025,0.9159,,,,,,,,,
130,Lyne,New South Wales,118810,91.69,2025,0.9169,,,,,,,,,
242,Moore,Western Australia,111636,91.69,2025,0.9169,,,,,,,,,
135,New England,New South Wales,120343,91.7,2025,0.917,,,,,,,,,
179,Adelaide,South Australia,120574,91.74,2025,0.9174,,,,,,,,,
138,Page,New South Wales,118682,91.74,2025,0.9174,,,,,,,,,
128,Lindsay,New South Wales,111566,91.97,2025,0.9197,,,,,,,,,
185,Hindmarsh,South Australia,120869,92,2025,0.92,,,,,,,,,
213,Gippsland,Victoria,108669,92.03,2025,0.9203,,,,,,,,,
309,Gorton,Victoria,118989,92.08,2025,0.9208,,,,,,,,,
119,Fowler,New South Wales,110492,92.11,2025,0.9211,,,The electorate in New South Wales #with the lowest voter turnout is #Fowler with a voter turnout of,,,,,,
320,Cooper,Victoria,110499,92.15,2025,0.9215,,,,,,,,,
210,Dunkley,Victoria,114655,92.2,2025,0.922,,,,,,,,,
151,Warringah,New South Wales,120597,92.23,2025,0.9223,,,,,,,,,
124,Hughes,New South Wales,106073,92.33,2025,0.9233,,,,,,,,,
190,Sturt,South Australia,120352,92.37,2025,0.9237,,,,,,The electorate in South Australia with #the median voter turnout is Sturt #with a voter turnout of,,,
212,Gellibrand,Victoria,109904,92.39,2025,0.9239,,,,,,,,,
103,Banks,New South Wales,110257,92.4,2025,0.924,,,,,,,,,
186,Kingston,South Australia,118209,92.41,2025,0.9241,,,,,,,,,
122,Greenway,New South Wales,109955,92.47,2025,0.9247,,,,,,,,,
121,Grayndler,New South Wales,116121,92.49,2025,0.9249,,,,,,,,,
136,Newcastle,New South Wales,116749,92.49,2025,0.9249,,,,,,,,,
120,Gilmore,New South Wales,119343,92.52,2025,0.9252,,,,,,,,,
252,Dickson,Queensland,110505,92.57,2025,0.9257,,,,,,,,,
109,Calare,New South Wales,115584,92.72,2025,0.9272,,,,,,,,,
125,Hume,New South Wales,108901,92.72,2025,0.9272,,,,,,,,,
223,La Trobe,Victoria,107026,92.72,2025,0.9272,,,,,,,,,
225,Maribyrnong,Victoria,114282,92.72,2025,0.9272,,,,,,,,The electorate in Victoria with the #median voter turnout is Maribyrnong #with a voter turnout of,
218,Indi,Victoria,112020,92.75,2025,0.9275,,,,,,,,,
126,Hunter,New South Wales,122626,92.77,2025,0.9277,,,,,,,,,
219,Isaacs,Victoria,112022,92.77,2025,0.9277,,,,,,,,,
250,Riverina,New South Wales,119291,92.81,2025,0.9281,,,,,,,,,
148,Shortland,New South Wales,114183,92.85,2025,0.9285,,,,,,,,,
180,Barker,South Australia,118226,93.06,2025,0.9306,,,,,,,,,
192,Bass,Tasmania,74814,93.08,2025,0.9308,,,,,,,The electorate in Tasmania with the #lowest voter turnout is Bass with a #voter turnout of,,
193,Braddon,Tasmania,78459,93.13,2025,0.9313,,,,,,,,,
187,Makin,South Australia,115168,93.15,2025,0.9315,,,,,,,,,
105,Bennelong,New South Wales,117335,93.16,2025,0.9316,,,,,,,,,
248,Tangney,Western Australia,114221,93.18,2025,0.9318,,,,,,,,,
208,Corio,Victoria,114438,93.22,2025,0.9322,,,,,,,,,
196,Lyons,Tasmania,83021,93.31,2025,0.9331,,,,,,,The electorate in Tasmania with the #median voter turnout is Lyons with a #voter turnout of,,
198,Ballarat,Victoria,108476,93.32,2025,0.9332,,,,,,,,,
319,Clark,Tasmania,69346,93.33,2025,0.9333,,,,,,,,,
249,Paterson,New South Wales,119434,93.36,2025,0.9336,,,,,,,,,
211,Flinders,Victoria,119117,93.4,2025,0.934,,,,,,,,,
238,Curtin,Western Australia,109527,93.42,2025,0.9342,,,,,,,,,The electorate in Western Australia #with the highest voter turnout is #Curtin with a voter turnout of
304,Blair,Queensland,132704,93.45,2025,0.9345,,,,,,,,,
226,McEwen,Victoria,110210,93.46,2025,0.9346,,,,,,,,,
323,Monash,Victoria,108844,93.46,2025,0.9346,,,,,,,,,
132,Mackellar,New South Wales,120930,93.5,2025,0.935,,,,,,,,,
108,Bradfield,New South Wales,118649,93.53,2025,0.9353,,,,,,,,,
182,Boothby,South Australia,121313,93.66,2025,0.9366,,,,,,,,,
177,Ryan,Queensland,107696,93.76,2025,0.9376,,,,,,,,,
133,Macquarie,New South Wales,114509,93.91,2025,0.9391,,,,,,,,,
117,Eden-Monaro,New South Wales,114049,93.96,2025,0.9396,,,,,,,,,
200,Bendigo,Victoria,112890,94.01,2025,0.9401,,,,,,,,,
106,Berowra,New South Wales,123027,94.01,2025,0.9401,,,,,,,,,
233,Wannon,Victoria,114499,94.02,2025,0.9402,,,,,,,,,
146,Robertson,New South Wales,108095,94.06,2025,0.9406,,,,,,,,,
328,Corangamite,Victoria,107353,94.07,2025,0.9407,,,,,,,,,
195,Franklin,Tasmania,78820,94.18,2025,0.9418,,,,,,,The electorate in Tasmania with the #highest voter turnout is Franklin #with a voter turnout of,,
169,Lilley,Queensland,111697,94.19,2025,0.9419,,,,,The electorate in Queensland with #the highest voter turnout is Lilley #with a voter turnout of,,,,
214,Goldstein,Victoria,118904,94.26,2025,0.9426,,,,,,,,,
197,Aston,Victoria,115546,94.35,2025,0.9435,,,,,,,,,
229,Menzies,Victoria,114251,94.43,2025,0.9443,,,,,,,,,
204,Casey,Victoria,115553,94.44,2025,0.9444,,,,,,,,,
150,Whitlam,New South Wales,122866,94.44,2025,0.9444,,,,,,,,,
220,Jagajaga,Victoria,114538,94.45,2025,0.9445,,,,,,,,,
134,Mitchell,New South Wales,116222,94.49,2025,0.9449,,,,,,,,,
209,Deakin,Victoria,119727,94.52,2025,0.9452,,,,,,,,,
188,Mayo,South Australia,130293,94.54,2025,0.9454,,,,,,The electorate in South Australia with #the highest voter turnout is Mayo #with a voter turnout of,,,
221,Kooyong,Victoria,117859,94.68,2025,0.9468,,,,,,,,,
112,Cook,New South Wales,112753,94.87,2025,0.9487,,,The electorate in New South Wales #with the highest voter turnout is #Cook with a voter turnout of,,,,,,
101,Canberra,Australian Capital Territory,100569,97.69,2025,0.9769,,The electorate in the Australian Capital #Territory with the highest voter turnout #is Canberra with a voter turnout of,,,,,,,
217,Hotham,Victoria,118498,99.58,2025,0.9958,The electorate with the highest voter turnout is #Hotham in Victoria with a turnout of,,,,,,,The electorate in Victoria with the #highest voter turnout is Hotham with a #voter turnout of,
