StateAb,GivenNm,Surname,PartyNm,PartyAb,Year
NT,Nigel,SCULLION,Country Liberals (NT),CLP,2010
NT,Trish,CROSSIN,Australian Labor Party (Northern Territory) Branch,ALP,2010
QLD,George Henry,BRANDIS,Liberal National Party of Queensland,LNQ,2010
QLD,Joe,LUDWIG,Australian Labor Party,ALP,2010
QLD,Barnaby,JOYCE,Liberal National Party of Queensland,LNQ,2010
QLD,Jan,McLUCAS,Australian Labor Party,ALP,2010
QLD,Larissa,WATERS,The Greens,GRN,2010
QLD,Brett,MASON,Liberal National Party of Queensland,LNQ,2010
SA,Alex,GALLACHER,Australian Labor Party,ALP,2010
SA,Mary Jo,FISHER,Liberal,LP,2010
SA,Anne,McEWEN,Australian Labor Party,ALP,2010
SA,Sean,EDWARDS,Liberal,LP,2010
SA,Penny,WRIGHT,The Greens,GRN,2010
SA,David,FAWCETT,Liberal,LP,2010
TAS,Helen,POLLEY,Australian Labor Party,ALP,2010
TAS,Eric,ABETZ,Liberal,LP,2010
TAS,Christine,MILNE,Australian Greens,GRN,2010
TAS,Anne,URQUHART,Australian Labor Party,ALP,2010
TAS,Stephen Shane,PARRY,Liberal,LP,2010
TAS,Lisa,SINGH,Australian Labor Party,ALP,2010
VIC,Kim John,CARR,Australian Labor Party,ALP,2010
VIC,Michael,RONALDSON,Liberal,LP,2010
VIC,Richard,DI NATALE,Australian Greens,GRN,2010
VIC,Stephen Michael,CONROY,Australian Labor Party,ALP,2010
VIC,Bridget,McKENZIE,The Nationals,NP,2010
VIC,John,MADIGAN,Democratic Labor Party (DLP) of Australia,DLP,2010
WA,Mathias,CORMANN,Liberal,LP,2010
WA,Chris,EVANS,Australian Labor Party,ALP,2010
WA,Chris,BACK,Liberal,LP,2010
WA,Glenn,STERLE,Australian Labor Party,ALP,2010
WA,Judith,ADAMS,Liberal,LP,2010
WA,Rachel,SIEWERT,The Greens,GRN,2010
ACT,Kate,LUNDY,Australian Labor Party,ALP,2007
